Date,Open_x,High_x,Low_x,Close_x,Volume_x,Open_y,High_y,Low_y,Close_y,Adj Close,Volume_y
2017-01-03,27.0924,27.2199,26.8422,27.1761,118566653.9,36280,36620,36020,36480,30126.61133,7357650
2017-01-04,27.1053,27.2629,27.0824,27.1462,87708543.29,36500,36520,36100,36160,29862.3418,7971750
2017-01-05,27.1223,27.3426,27.0954,27.2867,92732044.45,36060,36060,35540,35560,29366.83789,10967450
2017-01-06,27.3247,27.6476,27.2529,27.5858,132167526.3,36180,36440,36040,36200,29895.38672,8880950
2017-01-09,27.5948,27.9457,27.5918,27.8381,135221858.4,36600,37500,36560,37220,30737.73438,13194900
2017-01-10,27.7862,27.9338,27.6796,27.868,90550436.31,37280,37400,37080,37240,30754.24414,9099800
2017-01-11,27.7783,28.0575,27.7474,28.0175,113037224.3,37520,38560,37420,38280,31613.12305,12018150
2017-01-12,27.8142,27.9139,27.6576,27.9039,113993790.1,38000,38800,37980,38800,32042.56836,11669150
2017-01-13,27.868,27.9877,27.7962,27.851,108547445.1,38100,38320,37460,37460,30935.93359,15954450
2017-01-17,27.6896,28.1302,27.6596,28.0753,136451373.2,36580,37460,36580,36960,30523.02734,8150700
2017-01-18,28.0753,28.19,28.0075,28.0733,96499038.64,37040,37500,36620,36940,30506.49609,8875400
2017-01-19,27.9378,28.0973,27.9308,28.0255,101909420.3,37720,37920,37020,37480,30952.45508,9418900
2017-01-20,28.1771,28.1771,28.0155,28.0753,121449548.6,37120,37420,36880,37200,30721.2168,9185000
2017-01-23,28.0753,28.2668,28.0235,28.0973,83180115.62,37200,38060,37000,38060,31431.44531,8810400
2017-01-24,27.9707,28.1003,27.9607,28.0673,96564217.85,38120,38580,37880,38160,31514.02539,11048750
2017-01-25,28.1701,28.5669,28.1401,28.516,135371747.2,38340,39400,38320,39400,32538.0625,13433850
2017-01-26,28.4632,28.6466,28.4502,28.529,108376120.1,39420,40000,39420,39900,32950.98828,15214500
2017-01-31,28.3446,28.4004,28.2199,28.3934,170583673.5,39900,39900,39460,39460,32587.61719,17992200
2017-02-01,29.7184,30.5309,29.7124,30.1211,471284046.8,39540,39660,39040,39120,32306.83594,14150400
2017-02-02,29.9416,30.2707,29.8948,30.0753,137313849.0,39600,39660,39200,39360,32505.03125,15029300
2017-02-03,30.0214,30.2228,29.9896,30.1949,104748823.7,39400,39500,39180,39460,32587.61719,10386350
2017-02-06,30.2079,30.5329,30.156,30.489,111621182.2,39580,39660,39140,39560,32670.19336,8860700
2017-02-07,30.5428,30.8987,30.5229,30.7702,154881643.6,39560,39580,38760,38820,32059.08203,14041800
2017-02-08,30.7332,30.9317,30.7004,30.8858,91735706.64,38740,38780,38200,38400,31712.21484,17092950
2017-02-09,30.9317,31.1241,30.802,31.1201,102285850.0,38780,38840,38220,38400,31712.21484,13694150
2017-02-10,31.1301,31.2397,31.0303,31.0473,82225880.85,38400,38760,38300,38360,31679.19531,11020750
2017-02-13,31.2716,31.4411,31.1968,31.3244,94108862.27,37740,38060,37720,37960,31348.86914,11102050
2017-02-14,31.3644,31.7431,31.3145,31.7253,132181973.3,37960,38260,37320,37580,31035.04297,13124150
2017-02-15,31.8459,32.0203,31.6335,31.8429,143129857.1,37080,37960,37080,37720,31150.66016,14191550
2017-02-16,31.8827,31.9306,31.6833,31.8059,91659159.87,37800,38360,37780,38020,31398.4082,10226350
2017-02-17,31.7451,31.9157,31.7451,31.8937,89909004.76,37560,38040,37280,37860,31266.27344,15377450
2017-02-21,32.0104,32.137,31.9505,32.124,93339666.19,38540,39560,38420,38940,32158.17578,10562600
2017-02-22,32.0602,32.2227,31.9824,32.2198,74887038.88,39000,39340,38980,39300,32455.48242,8539450
2017-02-23,32.2815,32.3015,32.0283,32.0752,79190113.27,39020,39440,39020,39180,32356.38281,10217300
2017-02-24,31.9336,32.115,31.7901,32.115,90342536.1,38960,39100,38060,38220,31563.57422,9296850
2017-02-27,32.2247,32.2915,32.0223,32.1758,81443774.51,38020,38140,37700,38060,31431.44531,9033700
2017-02-28,32.2128,32.2915,32.124,32.1898,90007085.01,38060,38760,37960,38440,31745.25781,15088700
2017-03-02,32.8966,32.9644,32.6015,32.6494,108811209.2,38420,39860,38420,39720,32802.33203,21249800
2017-03-03,32.6065,32.8588,32.5637,32.8488,85030661.01,39340,39720,39160,39620,32719.74414,12708700
2017-03-06,32.7461,32.8468,32.5637,32.7411,80622173.07,39220,40220,39220,40080,33099.64063,12234850
2017-03-07,32.6733,32.8906,32.6095,32.785,71017213.98,39800,40320,39800,40200,33198.73438,10553250
2017-03-08,32.6464,32.8508,32.6165,32.6594,76475799.2,40200,40620,40140,40200,33198.73438,12140950
2017-03-09,32.5965,32.6095,32.2058,32.5836,87730817.02,40200,40300,40020,40200,33198.73438,14372250
2017-03-10,32.7212,32.7431,32.5737,32.6933,78680978.02,39960,40420,39860,40180,33182.22656,10227800
2017-03-13,32.6993,32.7631,32.6165,32.7092,74142232.97,40040,40980,40040,40600,33529.0625,7424100
2017-03-14,32.7332,32.8169,32.6195,32.6564,65151345.24,40620,41540,40500,41360,34156.70703,11325050
2017-03-15,32.7591,33.0741,32.6634,33.0073,109337435.4,40800,41440,40800,41400,34189.75391,9587850
2017-03-16,33.0661,33.1359,32.9584,33.0592,81846320.63,41800,42180,41540,41840,34553.10938,9933150
2017-03-17,33.1319,33.1319,32.8708,32.8936,161464826.6,41800,42500,41720,42400,35015.58594,12602300
2017-03-20,32.9934,33.2475,32.9515,33.2407,91677244.87,42000,42120,41740,41900,34602.67578,10250050
