Date,Open,High,Low,Close,Adj Close,Volume
1/2/17,35980,36240,35880,36100,31166.375,4650600
1/3/17,36280,36620,36020,36480,31494.4375,7357650
1/4/17,36500,36520,36100,36160,31218.17188,7971750
1/5/17,36060,36060,35540,35560,30700.17578,10967450
1/6/17,36180,36440,36040,36200,31252.70898,8880950
1/9/17,36600,37500,36560,37220,32133.30273,13194900
1/10/17,37280,37400,37080,37240,32150.57422,9099800
1/11/17,37520,38560,37420,38280,33048.43359,12018150
1/12/17,38000,38800,37980,38800,33497.37109,11669150
1/13/17,38100,38320,37460,37460,32340.50586,15954450
1/16/17,36860,37820,36320,36660,31649.8457,16611500
1/17/17,36580,37460,36580,36960,31908.83789,8150700
1/18/17,37040,37500,36620,36940,31891.57813,8875400
1/19/17,37720,37920,37020,37480,32357.77734,9418900
1/20/17,37120,37420,36880,37200,32116.04297,9185000
1/23/17,37200,38060,37000,38060,32858.51563,8810400
1/24/17,38120,38580,37880,38160,32944.83594,11048750
1/25/17,38340,39400,38320,39400,34015.375,13433850
1/26/17,39420,40000,39420,39900,34447.03516,15214500
1/31/17,39900,39900,39460,39460,34067.18359,17992200
2/1/17,39540,39660,39040,39120,33773.65625,14150400
2/2/17,39600,39660,39200,39360,33980.85156,15029300
2/3/17,39400,39500,39180,39460,34067.18359,10386350
2/6/17,39580,39660,39140,39560,34153.51563,8860700
2/7/17,39560,39580,38760,38820,33514.64453,14041800
2/8/17,38740,38780,38200,38400,33152.04297,17092950
2/9/17,38780,38840,38220,38400,33152.04297,13694150
2/10/17,38400,38760,38300,38360,33117.50391,11020750
2/13/17,37740,38060,37720,37960,32772.17578,11102050
2/14/17,37960,38260,37320,37580,32444.11328,13124150
2/15/17,37080,37960,37080,37720,32564.97852,14191550
2/16/17,37800,38360,37780,38020,32823.97266,10226350
2/17/17,37560,38040,37280,37860,32685.83789,15377450
2/20/17,38220,38780,38160,38660,33376.5,7485800
2/21/17,38540,39560,38420,38940,33618.24219,10562600
2/22/17,39000,39340,38980,39300,33929.03906,8539450
2/23/17,39020,39440,39020,39180,33825.4375,10217300
2/24/17,38960,39100,38060,38220,32996.64063,9296850
2/27/17,38020,38140,37700,38060,32858.51563,9033700
2/28/17,38060,38760,37960,38440,33186.57813,15088700
3/2/17,38420,39860,38420,39720,34291.63672,21249800
3/3/17,39340,39720,39160,39620,34205.32031,12708700
3/6/17,39220,40220,39220,40080,34602.45313,12234850
3/7/17,39800,40320,39800,40200,34706.04297,10553250
3/8/17,40200,40620,40140,40200,34706.04297,12140950
3/9/17,40200,40300,40020,40200,34706.04297,14372250
3/10/17,39960,40420,39860,40180,34688.77734,10227800
3/13/17,40040,40980,40040,40600,35051.37891,7424100
3/14/17,40620,41540,40500,41360,35707.50781,11325050
3/15/17,40800,41440,40800,41400,35742.03906,9587850
3/16/17,41800,42180,41540,41840,36121.91406,9933150
3/17/17,41800,42500,41720,42400,36605.37109,12602300
3/20/17,42000,42120,41740,41900,36173.70703,10250050
3/21/17,41780,42680,41760,42560,36743.51563,14220150
3/22/17,41600,42460,41580,42460,36657.1875,16427250
3/23/17,42200,42360,41700,41800,36087.38672,15397100
3/24/17,41600,41980,41080,41500,35828.38672,12808150
3/27/17,41200,41880,41180,41200,35569.37891,12177650
3/28/17,41560,41840,41380,41480,35811.10938,8216250
3/29/17,41740,41960,41580,41780,36070.10938,10093250
3/30/17,41880,42440,41880,41980,36364.63281,8204000
3/31/17,41820,42020,41200,41200,35688.97266,10500300
4/3/17,41400,41720,41300,41440,35896.86719,9579400
4/4/17,41600,42180,41520,42080,36451.25391,12255500
4/5/17,41900,42240,41700,42140,36503.22656,10699700
4/6/17,42000,42080,41600,41840,36243.35938,9683400
4/7/17,41800,41820,41160,41600,36035.46484,10021000
4/10/17,41940,41940,41500,41940,36329.98828,7141350
4/11/17,41940,41940,41580,41600,36035.46484,7172900
4/12/17,41860,41940,41700,41900,36295.33203,8274900
4/13/17,41660,42460,41660,42420,36745.77344,9040800
4/14/17,42160,42260,41760,42020,36399.28125,5462850
4/17/17,42000,42080,41520,41560,36000.8125,5224750
4/18/17,41680,41820,41280,41500,35948.84375,6860650
4/19/17,41300,41420,40900,40900,35429.09375,11762900
4/20/17,40580,40800,40080,40280,34892.02734,21148850
4/21/17,40480,41400,40480,40760,35307.82422,15130500
4/24/17,41260,41260,40920,41240,35723.62109,8990150
4/25/17,41460,42740,41320,42700,36988.32813,19299600
4/26/17,42700,42800,42520,42800,37074.95703,14794800
4/27/17,42700,44520,41960,43840,37975.83203,23032250
4/28/17,45780,45800,44520,44620,38651.49219,22685700
5/2/17,45500,45500,44760,44900,38894.04297,14068300
5/4/17,45700,45700,44860,45520,39431.11328,13690100
5/8/17,45520,47020,45340,47020,40730.46484,19582550
5/10/17,46160,47220,45600,45600,39500.41406,23410950
5/11/17,45420,46180,45220,45500,39413.78906,21277850
5/12/17,45760,46160,45660,45820,39690.98047,9422900
5/15/17,45620,46280,45620,46100,39933.53906,8001400
5/16/17,46660,46800,46100,46380,40176.07422,8803750
5/17/17,46120,46640,46100,46340,40141.42188,7424450
5/18/17,45740,46000,45540,45940,39794.93359,11160350
5/19/17,45640,45780,44720,44720,38738.11328,15762350
5/22/17,45040,45380,44760,45100,39067.28516,17643550
5/23/17,45400,45580,44900,44920,38911.37891,12607050
5/24/17,44860,45300,44800,44880,38876.72656,8675400
5/25/17,45160,45680,44800,45680,39569.70703,13044800
5/26/17,45600,46460,45540,46080,39916.20703,13613650
5/29/17,46220,46400,45380,45620,39517.73438,8739550
5/30/17,45520,45660,44480,44640,38668.82422,12433600
5/31/17,44580,45020,44400,44700,38720.79688,18669100
6/1/17,44860,44900,44400,44680,38703.48047,9753500
6/2/17,45060,45960,45000,45960,39812.26172,12488750
6/5/17,46040,46360,45720,45940,39794.93359,7599400
6/7/17,46500,46500,45240,45300,39240.54297,13729400
6/8/17,45000,45580,45000,45160,39119.27344,13978750
6/9/17,45680,46440,45600,46100,39933.53906,11732850
6/12/17,45420,45600,45140,45380,39309.84375,10954300
6/13/17,45140,45620,45140,45400,39327.16016,8624900
6/14/17,45800,46060,45240,45360,39292.51953,10166700
6/15/17,45680,45920,45180,45680,39569.70703,9657000
6/16/17,45500,45940,45460,45580,39483.09375,17403450
6/19/17,45580,46560,45560,46560,40332,11303900
6/20/17,47240,48140,47220,48140,41700.65234,15045000
6/21/17,47740,48120,47480,47480,41128.92969,9973650
6/22/17,47960,48080,47720,47960,41544.72656,11455800
6/23/17,47600,47780,47420,47620,41250.21094,9515100
6/26/17,47520,48360,47520,48280,41821.93359,8552800
6/27/17,48220,48400,47900,48300,41839.25781,9616750
6/28/17,47600,48000,47560,47700,41319.50781,9572500
6/29/17,48040,48320,47940,47940,41649.64453,8306550
6/30/17,47500,47620,47100,47540,41302.13281,11877550
7/3/17,47500,47780,47120,47220,41024.11328,6805550
7/4/17,47160,47400,46900,47000,40832.98438,7961000
7/5/17,46820,47680,46780,47580,41336.88672,10640250
7/6/17,48000,48100,47720,48060,41753.89844,10923050
7/7/17,47740,48120,47620,47860,41580.14453,8131900
7/10/17,48500,48900,48320,48660,42275.17578,10792750
7/11/17,48640,49000,48280,49000,42570.57031,9717800
7/12/17,49000,50000,48840,49880,43335.09375,9486150
7/13/17,50080,50940,50040,50560,43925.86719,16034150
7/14/17,51000,51080,50420,50480,43856.36719,8239000
7/17/17,50900,51020,50520,50640,43995.36719,8976100
7/18/17,50420,50880,50360,50840,44169.125,7084450
7/19/17,50620,50820,50000,50740,44082.25391,11157500
7/20/17,50760,51320,50560,51200,44481.89453,8367600
7/21/17,50860,51160,50520,51080,44377.63281,8449050
7/24/17,50700,51000,50620,50860,44186.50391,7099750
7/25/17,50500,50760,49940,50000,43439.35938,10810600
7/26/17,49600,50020,49300,49840,43300.34375,11224800
7/27/17,50000,50640,49560,49800,43265.58984,11449500
7/28/17,49800,49800,47380,47760,41493.26953,26168300
7/31/17,47420,48240,46920,48200,41875.53125,12701400
8/1/17,48000,48840,47540,48600,42223.05078,11369500
8/2/17,49200,49340,48600,49000,42570.57031,7777450
8/3/17,49000,49000,47120,47780,41510.64453,15540800
8/4/17,48160,48180,47500,47700,41441.14063,8359200
8/7/17,47500,48080,47440,47580,41336.88672,7218250
8/8/17,47980,48260,47480,47720,41458.51563,7979600
8/9/17,47400,47400,46240,46280,40207.46094,14555400
8/10/17,46200,46320,45460,45900,39877.32031,22986150
8/11/17,45120,45300,44220,44620,38765.26563,25407300
8/14/17,45120,45400,44720,45000,39095.41406,19185600
8/16/17,46220,46380,46000,46200,40137.95313,21913650
8/17/17,46960,47300,46740,47040,40867.73828,12415850
8/18/17,46760,47240,46240,46900,40746.11328,10477950
8/21/17,47240,47240,46580,46840,40693.97656,5103450
8/22/17,46820,47160,46700,47000,40832.98438,7381750
8/23/17,47780,47780,47180,47480,41249.99609,9384700
8/24/17,47520,47660,47340,47520,41284.75781,8657450
8/25/17,47880,47880,46720,47020,40850.35938,11243550
8/28/17,47020,47240,45960,46100,40051.08594,9962100
8/29/17,45640,46080,45160,46080,40033.70313,12623650
8/30/17,46380,46400,45960,46200,40137.95313,7513000
8/31/17,46220,46640,46000,46320,40242.21484,11011700
9/1/17,46460,46640,46300,46480,40381.21484,10641700
9/4/17,45780,46360,45500,46040,39998.95313,7943500
9/5/17,46240,46900,45960,46760,40624.47656,11716100
9/6/17,46760,47180,46700,47000,40832.98438,10811050
9/7/17,47000,48220,47000,48120,41806.02734,9676500
9/8/17,48700,49180,48580,49080,42640.06641,10893000
9/11/17,49700,50180,49500,49800,43265.58984,10374750
9/12/17,50200,50220,49140,49600,43091.83203,12029750
9/13/17,49820,50400,49440,49620,43109.20313,9357000
9/14/17,50060,50320,49760,50300,43699.98438,14204750
9/15/17,50300,50560,49860,50400,43786.86719,10757300
9/18/17,50540,52480,50520,52480,45593.9375,11524950
9/19/17,52500,52640,51780,52120,45281.17969,9850400
9/20/17,52120,52500,51840,52220,45368.05078,9292750
9/21/17,52220,52960,52220,52800,45871.95313,8839800
9/25/17,53000,53680,53000,53620,46584.36719,9303100
9/26/17,53620,53620,53620,53620,46584.36719,0
9/27/17,52000,52200,51500,51680,44898.91406,10797000
9/28/17,52260,52460,51260,51260,44654.99219,12025450
9/29/17,51180,51620,50840,51280,44672.41016,12909400
10/10/17,53360,53640,52800,52800,45996.55078,20519800
10/11/17,53600,54760,53340,54640,47599.46484,13652150
10/12/17,54840,55160,54100,54800,47738.85156,13890700
10/13/17,54540,54840,53780,54000,47041.9375,12601650
10/16/17,53980,54860,53760,53920,46972.23828,9769950
10/17/17,54020,55380,54000,54800,47738.85156,10607800
10/18/17,54820,55240,54040,54760,47704.00781,10110750
10/19/17,54700,54700,52980,52980,46153.36328,12108700
10/20/17,52800,54100,52800,53840,46902.54688,8027050
10/23/17,54600,54640,54000,54300,47303.27344,8311050
10/24/17,54700,54780,54040,54040,47076.77734,5806050
10/25/17,54040,54420,53700,53900,46954.81641,5882850
10/26/17,53720,53900,52400,52400,45648.09766,9776550
10/27/17,52400,53320,52140,53080,46240.47266,7392500
10/30/17,53780,54320,53700,54040,47076.77734,8196150
10/31/17,54060,55440,53500,55080,47982.77344,13381550
11/1/17,57500,57500,56180,57220,49847.02734,14510250
11/2/17,57500,57520,56760,57060,49707.64453,10721050
11/3/17,57060,57140,55860,56380,49115.26172,9935800
11/6/17,56380,56500,55340,56380,49115.26172,9000950
11/7/17,56380,56920,55860,56100,48871.34375,7464550
11/8/17,56100,57060,55860,56760,49446.30078,8520200
11/9/17,56920,56920,55900,56340,49080.41797,11994050
11/10/17,55800,56540,55780,56400,49132.68359,6748800
11/13/17,56400,56800,56100,56380,49115.26172,8806650
11/14/17,56380,56740,55920,55920,48714.54297,6725000
11/15/17,55920,56320,55320,55340,48209.26953,8816950
11/16/17,55440,56000,55400,55780,48592.57813,7640700
11/17/17,56400,56880,55820,55820,48627.42969,10733150
11/20/17,55900,55980,55200,55200,48087.30859,9472750
11/21/17,55400,55840,55280,55280,48157.00391,10324700
11/22/17,55980,56200,55620,55960,48749.37891,7952950
11/23/17,55960,55980,55020,55300,48174.42188,6272900
11/24/17,55300,55500,55180,55460,48313.80469,4536200
11/27/17,55360,55360,52640,52640,45857.17578,18128900
11/28/17,52700,53280,51720,53280,46414.70313,13499400
11/29/17,53200,53240,52500,52600,45822.32422,9590250
11/30/17,50800,51860,50200,50800,44254.27344,29634150
12/1/17,50800,51780,50800,50840,44289.09766,12868600
12/4/17,50840,51340,50020,51340,44724.67969,14865050
12/5/17,50600,51300,50280,51260,44654.99219,9326550
12/6/17,51260,51560,50020,50020,43574.76953,10889200
12/7/17,50040,50980,50020,50740,44201.99219,11065600
12/8/17,51360,52000,51040,52000,45299.64453,11290450
12/11/17,52000,52040,51500,51780,45107.99219,8125850
12/12/17,51820,52100,51660,52100,45386.74219,8765050
12/13/17,52100,52100,51100,51320,44707.25391,11333700
12/14/17,51320,52280,51060,51060,44480.76563,20310400
12/15/17,51240,51480,50520,50620,44097.46094,14928550
12/18/17,50620,51240,50620,51200,44602.71484,7350250
12/19/17,51540,52080,51520,51560,44916.33594,11978600
12/21/17,51000,51060,49100,49140,42808.15625,15624300
12/22/17,49400,49960,49240,49700,43296,11199650
12/26/17,49760,50100,48200,48200,41989.27734,16039850
12/27/17,48960,49560,48460,49360,43386.86719,10743600
12/28/17,49560,50960,49500,50960,44793.25391,8985450
1/2/18,51380,51400,50780,51020,44845.99609,8474250
1/3/18,52540,52560,51420,51620,45373.38672,10013500
1/4/18,52120,52180,50640,51080,44898.72656,11695450
1/5/18,51300,52120,51200,52120,45812.875,9481150
1/8/18,52400,52520,51500,52020,45724.98047,8383650
1/9/18,51460,51720,49980,50400,44301.02344,18013600
1/10/18,50500,50520,48640,48840,42929.80078,18566800
1/11/18,48200,49260,48020,48240,42402.40625,25123800
1/12/18,48240,48480,46760,48200,42367.23828,27270450
1/15/18,48800,48980,47920,48540,42666.10156,10096000
1/16/18,48760,50140,48620,50000,43949.43359,20389650
1/17/18,50020,50020,49060,49620,43615.40625,11053050
1/18/18,50020,50640,49820,49900,43861.52344,14848850
1/19/18,50380,50380,49040,49320,43351.71484,9219950
1/22/18,48640,48680,47960,48240,42402.40625,12520900
1/23/18,48660,49160,48300,49160,43211.0625,13532700
1/24/18,48860,49700,48560,49340,43369.29297,9550500
1/25/18,49220,50360,49160,50260,44177.96484,11160350
1/26/18,50500,50780,49840,50780,44635.03125,10350100
1/29/18,51200,51480,50900,51220,45021.78906,11838800
1/30/18,50440,50640,49780,49800,43773.625,12284550
1/31/18,50020,54140,49600,49900,43861.52344,64681300
2/1/18,50620,50960,49720,49820,43791.21094,27609450
2/2/18,49380,49400,47700,47700,41927.75,29260350
2/5/18,46500,48320,46000,47920,42121.13281,28357900
2/6/18,46600,47920,46580,47420,41681.63672,19406450
2/7/18,48240,48260,45800,45800,40257.67188,23448050
2/8/18,46120,46620,45980,46000,40433.46875,23251050
2/9/18,44440,45180,44420,44700,39290.78516,17465000
2/12/18,45100,46320,45040,45720,40187.35547,15754950
2/13/18,46200,48060,46200,47540,41787.11719,18923250
2/14/18,48080,49100,47940,49000,43070.4375,18905900
2/19/18,49800,49800,47860,48380,42525.46094,15353450
2/20/18,48040,48160,47220,47400,41664.05078,10122600
2/21/18,47280,47580,46840,47280,41558.57813,12880200
2/22/18,47260,47260,46760,46760,41101.5,8869950
2/23/18,46760,47800,46760,47220,41505.83203,12423300
2/26/18,47280,47560,47080,47380,41646.47656,9560650
2/27/18,48360,48380,47380,47380,41646.47656,9830550
2/28/18,47380,48100,47000,47060,41365.20313,15162350
3/2/18,46580,46800,46000,46020,40451.05078,13265500
3/5/18,45820,46160,45080,45200,39730.27734,14100950
3/6/18,45920,47100,45820,47020,41330.03516,15423350
3/7/18,48200,48900,47220,48620,42736.41406,21427050
3/8/18,49200,49480,48080,49200,43246.23047,19463650
3/9/18,49440,50540,49240,49740,43720.89063,14304400
3/12/18,50560,50780,49580,49740,43720.89063,8688950
3/13/18,50760,51660,50360,51660,45408.55078,20098700
3/14/18,51020,52000,51000,51760,45496.44531,12713250
3/15/18,52000,52020,51020,51540,45303.06641,8882450
3/16/18,51220,51420,50240,51140,44951.47266,12184900
3/19/18,50620,51340,50440,50740,44599.875,8218850
3/20/18,50700,51200,50100,51200,45004.20703,8193250
3/21/18,51780,51780,51060,51060,44881.15625,8905200
3/22/18,51060,51780,51040,51780,45514.02734,8454100
3/23/18,50340,50720,49600,49720,43703.30859,14854950
3/26/18,49420,50280,49040,50280,44195.54688,10057750
3/27/18,50320,50460,49080,49980,43931.83984,11874000
3/28/18,49100,49100,48340,48700,42806.73828,15159450
3/29/18,48700,49560,48320,49040,43421.21875,10067000
3/30/18,49080,49900,49080,49220,43580.60156,7777100
4/2/18,49000,49220,48500,48540,42978.50781,7115650
4/3/18,47880,48140,47280,48120,42606.62891,12768250
4/4/18,48160,48260,46920,46920,41544.11328,12384200
4/5/18,47400,49380,47340,48740,43155.59766,13245600
4/6/18,48000,48580,47400,48400,42854.55078,12532700
4/9/18,48260,49440,48200,49200,43562.89063,9950400
4/10/18,48540,49220,48040,48880,43279.55469,10984350
4/11/18,49900,49900,48600,48860,43261.85156,10051100
4/12/18,49440,49440,48880,49000,43385.80859,12466250
4/13/18,49600,50180,49400,49800,44094.14453,10278300
4/16/18,50320,50600,49860,50340,44572.27344,7877450
4/17/18,50240,50540,49820,49980,44253.52734,7772000
4/18/18,51000,51360,50580,51360,45475.39844,13462600
4/19/18,52000,52980,51540,52780,46732.70313,17190550
4/20/18,51800,52260,51420,51620,45705.61719,11761000
4/23/18,51000,52080,51000,51900,45953.54297,11619000
4/24/18,51840,51860,50080,50460,44678.52344,15770300
4/25/18,49220,50500,49220,50400,44625.40234,16614600
4/26/18,50420,52160,50400,52140,46166.03516,18046550
4/27/18,53380,53640,52440,53000,46927.51172,30310800
4/30/18,53000,53000,53000,53000,46927.51172,0
5/2/18,53000,53000,53000,53000,46927.51172,0
5/3/18,53000,53000,53000,53000,46927.51172,0
5/4/18,53000,53900,51800,51900,45953.54297,39565391
5/8/18,52600,53200,51900,52600,46573.33203,23104720
5/9/18,52600,52800,50900,50900,45068.11328,16128305
5/10/18,51700,51700,50600,51600,45687.91406,13905263
5/11/18,52000,52200,51200,51300,45422.28125,10314997
5/14/18,51000,51100,49900,50100,44359.77344,14909272
5/15/18,50200,50400,49100,49200,43562.89063,18709146
5/16/18,49200,50200,49150,49850,44138.41797,15918683
5/17/18,50300,50500,49400,49400,43739.97266,10365440
5/18/18,49900,49900,49350,49500,43828.51172,6706570
5/21/18,49650,50200,49100,50000,44271.23438,9020998
5/23/18,50600,52000,50400,51800,45864.99609,17095490
5/24/18,52000,52000,51100,51400,45510.82422,8289275
5/25/18,51000,52800,50800,52700,46661.875,15207266
5/28/18,52500,53000,52000,52300,46307.70313,9787820
5/29/18,52200,52500,51300,51300,45422.28125,8480437
5/30/18,51300,51500,49100,49500,43828.51172,20498098
5/31/18,50400,50800,49850,50700,44891.03125,63491109
6/1/18,50500,51700,49950,51300,45422.28125,13038499
6/4/18,50800,51200,50700,51100,45245.19922,9767171
6/5/18,51100,51400,50400,51300,45422.28125,9144100
6/7/18,51800,51800,50500,50600,44802.48828,13590016
6/8/18,50200,50400,49600,49650,43961.32422,16951706
6/11/18,49750,50300,49350,49900,44182.67969,10571312
6/12/18,49700,49800,49250,49400,43739.97266,12110569
6/14/18,49000,49000,48200,48200,42677.46484,20971729
6/15/18,48500,48700,47650,47650,42190.48047,17080892
6/18/18,47600,47650,46200,46600,41260.78125,16661870
6/19/18,47200,47350,46500,47000,41614.95313,15217971
6/20/18,47450,47600,46850,47000,41614.95313,12959316
6/21/18,47900,47900,47050,47050,41659.22656,10015541
6/22/18,47000,47250,46200,47250,41836.31641,10298006
6/25/18,47050,47050,46150,46650,41305.05469,10587711
6/26/18,45900,47300,45900,47000,41614.95313,11223166
6/27/18,47450,48500,47000,47950,42456.10938,15274752
6/28/18,46850,47150,46600,46800,41746.06641,12784800
6/29/18,46250,47150,46200,46650,41612.26953,14099635
7/2/18,46500,47150,45500,45550,40631.05469,13112253
7/3/18,45750,46450,45750,46150,41166.26953,10959655
7/4/18,46700,47050,46050,46250,41255.46875,8776763
7/5/18,46100,46550,45600,45950,40987.85938,7039773
7/6/18,45500,45850,44650,44900,40051.25,17843706
7/9/18,45500,46100,45200,45600,40675.66016,11602464
7/10/18,46200,46550,46100,46300,41300.06641,10528665
7/11/18,46400,46450,45400,46000,41032.45703,11224077
7/12/18,45900,46250,45450,45500,40586.46094,11828104
7/13/18,45800,46500,45750,46500,41478.46875,11543389
7/16/18,46800,46800,46000,46050,41077.06641,7678719
7/17/18,46150,46200,45600,45850,40898.66406,8892953
7/18/18,46700,47200,46450,46550,41523.06641,10952645
7/19/18,47050,47200,46600,46900,41835.26953,9880128
7/20/18,47000,47600,46700,47450,42325.86328,10474547
7/23/18,47100,47200,46150,46500,41478.46875,10823782
7/24/18,46350,46600,45950,46150,41166.26953,8261363
7/25/18,46250,46550,45900,46150,41166.26953,7222471
7/26/18,46100,47000,46000,46900,41835.26953,7374946
7/27/18,46450,47000,46450,46900,41835.26953,4762460
7/30/18,46550,46800,46350,46500,41478.46875,5723035
7/31/18,46200,46450,46000,46250,41255.46875,8033607
8/1/18,46050,46850,46050,46550,41523.06641,7484499
8/2/18,46550,46800,45500,45550,40631.05469,8560924
8/3/18,45850,45900,45450,45750,40809.46094,8274944
8/6/18,46150,46150,45750,45800,40854.05859,6771979
8/7/18,46300,46750,45900,46700,41656.87109,9058174
8/8/18,47000,47000,46550,46800,41746.06641,6429338
8/9/18,47000,47050,46450,46900,41835.26953,12010886
8/10/18,46150,46400,44850,45400,40497.24609,16670643
8/13/18,44950,45100,44650,45050,40185.05859,9803831
8/14/18,44850,45400,44850,45150,40274.25391,6409259
8/16/18,43800,44650,43700,44250,39471.44141,10088229
8/17/18,44050,44400,44050,44100,39337.64453,6808747
8/20/18,43500,44200,43500,43850,39114.64063,7289124
8/21/18,43700,44900,43700,44800,39962.04688,9520270
8/22/18,45150,46200,44900,46100,41121.66406,11641656
8/23/18,46150,46200,45700,46200,41210.86328,6730918
8/24/18,45900,46400,45550,46150,41166.26953,6582535
8/27/18,46100,46550,46000,46300,41300.06641,5263782
8/28/18,46800,46950,46300,46550,41523.06641,7365976
8/29/18,46750,46800,46400,46800,41746.06641,5572374
8/30/18,46950,47950,46700,47650,42504.27734,12193231
8/31/18,47100,48450,47000,48450,43217.89063,13577454
9/3/18,48200,48300,47300,47450,42325.86328,8595084
9/4/18,47550,47800,47200,47650,42504.27734,6791255
9/5/18,47300,47450,46400,46600,41567.67188,9139998
9/6/18,46200,46400,45800,46100,41121.66406,9040553
9/7/18,44500,45200,44400,44900,40051.25,18285508
9/10/18,45450,45550,45000,45500,40586.46094,9979838
9/11/18,45550,45900,45050,45050,40185.05859,9865790
9/12/18,44900,45100,44500,44550,39739.05078,12995269
9/13/18,44550,44750,44000,44050,39293.04688,18277942
9/14/18,45000,45850,44900,45850,40898.66406,12446344
9/17/18,45550,45800,44900,45150,40274.25391,8123384
9/18/18,44950,45900,44700,45500,40586.46094,9987090
9/19/18,46000,46200,45700,46150,41166.26953,9367454
9/20/18,46850,47600,46400,47250,42147.47656,13536966
9/21/18,46550,47550,46550,47400,42281.27344,14476906
9/27/18,46950,47500,46450,47500,42689.30078,15804586
9/28/18,47250,47250,46300,46450,41745.63672,11270515
10/1/18,46450,46800,45800,46350,41655.76172,6354983
10/2/18,46450,46700,45700,45700,41071.59375,6607188
10/4/18,45150,45600,44700,44700,40172.875,11865327
10/5/18,44800,45500,44550,44700,40172.875,10544165
10/8/18,44200,45200,44200,44950,40397.55078,6759464
10/10/18,45250,45500,44500,45300,40712.11328,10341349
10/11/18,44000,44650,43100,43100,38734.91797,19324537
10/12/18,43200,44650,43200,44000,39543.77344,12640906
10/15/18,44050,44050,43350,43800,39364.02344,7434522
10/16/18,43700,44150,43350,43600,39184.28125,6825677
10/17/18,44150,44500,44000,44150,39678.57813,8306193
10/18/18,43950,44450,43700,44050,39588.70703,8347725
10/19/18,43900,44150,43450,43900,39453.89844,7842520
10/22/18,43450,43950,43200,43550,39139.33984,8357648
10/23/18,43300,43450,42550,43050,38689.98047,9531231
